ID,MMPR,FREQR,POIDS_VAS,POIDS_IN,POIDS_IN_OFFN,POIDS_OPK,POIDS_ONG,POIDS_INT,POIDS_ONN,SMART_PHONE,MULTI_EQUIPE,USERS_INTERNET
6.0,20.0,5.0,0.012244398187901028,0.03290479930530709,0.8002512562879409,0.9123227646646895,0.3017241379280247,0.5712988192552207,0.9602744822454463,0.0,0.0,0.0
18.0,20.0,1.0,0.0,0.9303998049729231,0.254945630811086,0.6421257922965973,0.0,0.6043824701163696,0.6940516821086529,0.0,0.0,0.0
62.0,10.0,1.0,0.1520912547544708,0.6237337192568668,0.6937354988427495,0.28364688855446396,0.0,0.5180995475044425,0.3603473227140976,0.0,0.0,0.0
109.0,0.0,0.0,0.0,0.7916666666607435,0.8482972136327964,0.18137254901559488,0.0,0.8795620437956205,0.32843137254572746,0.0,0.0,0.0
123.0,42.5,4.0,0.035870578951134005,0.20594398933317315,0.9861239593025233,0.1171651743197661,0.0,0.8074839980284046,0.6130691560292049,1.0,0.0,0.0
126.0,14.0,10.0,0.007141326858285461,0.4870714939343293,0.018546619457047057,0.6157230343256853,0.4611072179362804,0.5118653421672972,0.9729228747742176,0.0,0.0,0.0
128.0,10.0,2.0,0.0,0.9695997947669602,0.986109273713649,0.7044638276017607,0.0,0.9949313058552152,0.03835300153847288,0.0,0.0,0.0
150.0,12.857142857142858,7.0,0.036182722749412054,0.3534995977456983,0.9230769230759426,0.4707964601764605,0.0,0.5803357314143652,0.46323411102443823,0.0,0.0,0.0
230.0,10.0,1.0,0.0,0.97296124927682,0.9736959429345254,0.20546558704110723,0.0,0.5487148834421719,0.03238866396723777,0.0,0.0,0.0
241.0,20.0,1.0,0.0,0.9615888698457351,0.5491717341132519,0.36495614477502375,0.0,0.7602138220692646,0.4719225728428155,0.0,0.0,0.0
356.0,0.0,0.0,0.0,1.0,0.03551580964554945,0.9275630788614425,0.0,0.9838129496403459,0.9644841903544505,0.0,0.0,0.0
425.0,10.0,1.0,0.0,0.9622488876901408,0.8678716547573133,0.3296481057009534,0.0,0.699036791409977,0.1461507347980146,0.0,0.0,0.0
440.0,20.0,1.0,0.0,0.8476602762313118,0.5114299610908647,0.19480519479121983,0.0,0.6309362279557297,0.5442176870740527,0.0,0.0,0.0
471.0,26.923076923076923,13.0,0.15985944760951085,0.13452143586373738,0.05047623898518829,0.7072498920808148,0.07706013362953597,0.4641532756476246,0.9790129293510975,0.0,0.0,0.0
487.0,16.666666666666668,3.0,0.18128752501625256,0.4641148325369107,0.0659793814430269,0.3279106857984155,0.5319148936143051,0.4615384615255514,0.9623604465704069,0.0,0.0,0.0
494.0,12.5,4.0,0.03336670003203203,0.7563025210079034,0.9875555555559834,0.08268907562929928,0.3992805755338233,0.8996188055908513,0.22504201680620173,0.0,0.0,0.0
608.0,17.5,4.0,0.0,0.6580263602580833,0.2456473730155958,0.723960797545338,1.0,0.7578830613189469,0.8383575532275878,0.0,0.0,0.0
615.0,10.0,2.0,0.009509509507507508,0.5582822085882796,0.7747252747191614,0.21932515337610325,0.0,0.6449704141990826,0.4815950920268122,0.0,0.0,0.0
646.0,20.0,2.0,0.04874482086306855,0.4475917834368654,0.06597845601437748,0.6479333031966972,0.01379310344492271,0.5017123287705539,0.9417407463211415,0.0,0.0,0.0
652.0,0.0,0.0,0.05715102157418397,0.6393546346077036,0.27016328550409807,0.04334071496507648,0.0,0.8863636363607587,0.8051249604540562,0.0,0.0,0.0
659.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6588021778608305,0.0,0.0,0.0
663.0,10.0,1.0,0.0,0.9041487839785408,0.08702531645397621,0.29256080114163086,0.0,0.5449438202144931,0.8726752503605151,0.0,0.0,0.0
692.0,20.0,1.0,0.0,0.0,0.0,0.5049710024818018,0.0,1.0,0.9610604805291859,0.0,0.0,0.0
