ID,MMPR,FREQR,POIDS_VAS,POIDS_IN,POIDS_IN_OFFN,POIDS_OPK,POIDS_ONG,POIDS_INT,POIDS_ONN,SMART_PHONE,MULTI_EQUIPE,USERS_INTERNET,Cluster,Segment_Name
2037.0,11.666666666666666,3.0,0.0941619585670996,0.1101992966078044,0.1914893616858307,0.0304806565106368,1.0,0.0,0.978898007034344,0.0,0.0,0.0,2,Appelants Off-Net
2047.0,13.333333333333334,6.0,0.0125031257808889,0.6298385484893873,0.0001762984379262,0.2254991227837363,0.7539130434795585,0.0,0.9873192831287032,1.0,0.0,0.0,0,High Value Smartphone
2054.0,10.0,2.0,0.0,0.0514950166174269,0.5806451612799165,0.0431893687670114,1.0,0.0,0.9700996677710624,0.0,0.0,0.0,2,Appelants Off-Net
2060.0,10.0,1.0,0.3003003002918955,0.0,0.0,0.8184713375784616,1.0,0.0,1.0,0.0,0.0,1.0,7,Data Users
2062.0,15.0,2.0,0.5662891405705919,0.2107484524484345,0.7857142857191496,0.3515756893584384,1.0,0.0,0.834411930218062,0.0,0.0,0.0,3,Fans de VAS
2064.0,13.0,10.0,0.0082918739631675,0.6263689070219262,0.0733630442229733,0.6475198625672917,0.431429762399202,0.0,0.8076014601670854,0.0,0.0,1.0,7,Data Users
2076.0,14.0,5.0,0.0,0.0,0.0,0.5614754098360341,0.9304347826129084,0.0,0.9928278688527188,0.0,0.0,0.0,2,Appelants Off-Net
2077.0,16.666666666666668,6.0,0.0,0.0,0.0,0.2174077643185872,1.0,0.0,1.0,0.0,0.0,1.0,7,Data Users
2078.0,18.07692307692308,13.0,0.4383538323946385,0.0364906832298006,0.0266858997468253,0.3822507632370863,0.9771790808239874,0.0,0.9980787451310948,0.0,0.0,0.0,2,Appelants Off-Net
2082.0,16.666666666666668,3.0,0.2000800320105636,0.0023839678162872,0.49999999990625,0.9929225955446568,0.522882181109011,0.0,0.9623035089027508,0.0,0.0,0.0,2,Appelants Off-Net
2093.0,0.0,0.0,0.0,0.51656203098922,0.0129039298331187,0.8990212864760351,1.0,0.0236842105223995,0.9933343197976616,0.0,0.0,0.0,2,Appelants Off-Net
2101.0,17.5,4.0,0.0673174015480735,0.1984905876957739,0.0109151366199029,0.831769398527584,0.415704387988842,0.0,0.9942033976124512,0.0,0.0,0.0,2,Appelants Off-Net
2104.0,10.0,4.0,0.1248751248743764,0.4994292237445761,0.257142857143869,0.1613869863017384,0.7431506849332662,0.0,0.86087328767063,0.0,0.0,0.0,2,Appelants Off-Net
2106.0,20.0,1.0,0.0,0.823262254222369,0.0011100645855798,0.9653281639408698,1.0,0.0,0.9990861257269432,0.0,0.0,0.0,2,Appelants Off-Net
2109.0,13.75,8.0,0.3887347983739631,0.6291976748493148,0.0249794044957602,0.7373468103149208,0.5726744186121552,0.0016764459329505,0.9815617016550746,0.0,0.0,1.0,7,Data Users
2111.0,12.857142857142858,7.0,0.2182429188637161,0.7926233755886086,3.771924310052558e-05,0.7119110260683257,0.9059829059831084,0.0,0.998545005182192,0.0,0.0,0.0,2,Appelants Off-Net
2116.0,17.0,10.0,0.0052944290840575,0.0126319810108216,0.133909287255592,0.8932965923647448,0.5026939655177831,0.0,0.9731263470931372,0.0,0.0,0.0,2,Appelants Off-Net
2119.0,12.0,5.0,0.0927560366340417,0.7566854759557331,0.0100510658994828,0.868927870459547,0.8563586459294202,0.0571428571428571,0.973135426889163,1.0,0.0,0.0,0,High Value Smartphone
2122.0,10.0,1.0,0.0,0.0,0.0,0.9701338825972609,1.0,0.0,1.0,0.0,0.0,1.0,7,Data Users
2125.0,18.571428571428573,7.0,0.0769289945378046,0.1530442035028884,0.0047359543272374,0.7564637197664142,0.6913202933976879,0.0,0.994261090591344,0.0,0.0,1.0,7,Data Users
2126.0,16.666666666666668,3.0,0.020153164046739,0.2872752378941417,0.0046499477534101,0.9694713775319056,0.2145077720211699,0.0,0.9872872452196184,0.0,0.0,0.0,2,Appelants Off-Net
2129.0,15.0,2.0,0.0,0.711759600782085,0.0004572473708246,0.0311347363849607,1.0,0.0,0.9996745497938831,0.0,0.0,0.0,2,Appelants Off-Net
2130.0,17.857142857142858,14.0,0.0133666013182413,0.1761845080774862,0.019948967757182,0.7370787129120671,0.4892055267720206,0.0,0.980369452088385,0.0,0.0,0.0,2,Appelants Off-Net
2131.0,15.0,2.0,0.0,0.8977875320323138,0.0008195678899248,0.7183416639111734,0.7213316892707242,0.0,0.9963971278511612,0.0,0.0,0.0,2,Appelants Off-Net
2134.0,17.5,4.0,0.0,0.4298809345873633,0.0039981457875906,0.7499377272917729,0.6143497757847534,0.0,0.9854281871169692,0.0,0.0,0.0,2,Appelants Off-Net
2136.0,8.333333333333334,6.0,0.1146336342598505,0.0,0.0,0.321911632103314,0.8459657701696427,0.0,0.9431920649229444,0.0,0.0,1.0,7,Data Users
2137.0,20.0,2.0,0.1249375312322585,0.4951190272282925,0.0,0.9873265970107894,1.0,0.0,1.0,0.0,0.0,0.0,2,Appelants Off-Net
2138.0,20.0,1.0,0.0,0.3293535899037747,0.2128605294325168,0.7743583070336301,1.0,0.0,0.9298936204825824,0.0,0.0,0.0,2,Appelants Off-Net
2145.0,17.142857142857142,7.0,0.0144948543263527,0.1093500549904661,0.0075431908511259,0.8893727604915287,0.730575539566545,0.0,0.992532018306292,1.0,0.0,0.0,0,High Value Smartphone
2150.0,20.0,6.0,0.0,0.0965422619756898,0.0534298988799051,0.7604517090761319,0.9787506400406576,0.0184078995492207,0.9926518119812898,0.0,0.0,0.0,2,Appelants Off-Net
2151.0,20.0,1.0,0.2280570142556164,0.4174260660257215,0.0003089280197715,0.9762293672372928,1.0,0.0,0.9998710453920217,0.0,0.0,0.0,2,Appelants Off-Net
2152.0,17.0,10.0,0.0,0.3616839512057149,0.0711892337278687,0.457642945116349,0.3803302933173895,0.0496917616287494,0.9243056383356972,0.0,0.0,0.0,2,Appelants Off-Net
2164.0,15.555555555555555,18.0,0.0805987334456141,0.0945317795924585,0.0451596380401306,0.2779544207364699,0.9802594472644076,0.0,0.9934713838406444,0.0,0.0,1.0,7,Data Users
2165.0,16.666666666666668,3.0,0.0,0.1745166867499162,0.0540378264785998,0.2767328548225203,0.8972602739722508,0.0,0.9874259967517172,0.0,0.0,0.0,2,Appelants Off-Net
